stud,lines,functions,variables,conditionals,nestinglevels,assignments,branches,comparisons
s001,15,15,18,17,19,8,1,9
s002,9,9,10,9,9,4,3,2
s003,13,13,6,8,12,6,0,7
s004,12,12,10,8,6,5,0,6
s005,5,5,8,13,10,4,0,8
s006,10,10,5,10,14,4,0,6
s007,21,21,11,22,6,7,0,6
s008,1,1,13,4,10,5,1,6
s009,5,5,4,11,9,5,1,6
s010,2,2,9,11,23,4,0,7
s011,11,11,7,8,14,5,1,5
s012,6,6,11,18,17,6,3,6
s013,16,16,2,9,9,3,2,4
s014,4,4,4,12,3,4,0,8
s015,7,7,11,2,5,6,1,6
s016,19,19,6,9,1,9,0,7
s017,5,5,4,13,7,4,0,6
s018,9,9,6,1,15,2,0,6
s019,14,14,3,12,15,9,0,7
s020,7,7,7,21,4,7,0,7
s021,9,9,12,14,11,4,0,6
s022,9,9,5,4,9,7,0,7
s023,8,8,16,14,21,6,0,7
s024,11,11,8,3,8,4,1,2
s025,5,5,15,11,15,9,0,7
s026,23,23,12,21,7,4,0,9
s027,7,7,14,4,10,4,0,6
s028,9,9,18,9,23,4,0,6
s029,21,21,3,9,11,4,0,7
s030,23,23,13,1,2,7,1,9
s031,11,11,8,10,7,5,0,9
s032,18,18,6,9,16,4,0,6
s033,9,9,12,18,5,3,0,5
s034,3,3,9,9,8,2,0,5
s035,3,3,9,4,8,3,0,5
s036,9,9,7,12,10,5,1,7
s037,2,2,3,4,12,4,0,6
s038,2,2,1,7,1,4,0,7
s039,11,11,8,10,11,5,1,6
s040,4,4,9,9,1,4,0,6
s041,9,9,2,13,4,6,0,11
s042,20,20,24,9,8,4,2,6
s043,2,2,6,11,20,5,0,7
s044,6,6,16,6,18,7,0,7
s045,15,15,8,1,6,4,0,6
s046,7,7,4,2,15,4,0,6
s047,8,8,3,9,25,6,0,11
s048,9,9,1,6,8,4,0,6
s049,4,4,2,13,22,4,0,6
s050,12,12,18,1,13,7,0,7
s051,2,2,18,8,18,3,2,6
s052,18,18,5,9,11,6,0,7
s053,23,23,20,8,23,8,0,8
s054,19,19,9,5,1,8,0,7
s055,15,15,5,7,12,4,0,6
s056,3,3,16,1,8,5,0,6
s057,5,5,13,3,9,6,0,7
s058,6,6,19,13,15,8,0,7
s059,17,17,9,5,12,5,0,7
s060,3,3,15,17,12,5,0,7
s061,4,4,3,7,18,7,0,7
s062,10,10,8,20,22,5,0,8
s063,37,37,26,29,43,18,6,11
s064,2,2,20,9,17,5,0,6
s065,17,17,16,6,8,4,0,6
s066,7,7,1,13,17,7,0,7
s067,8,8,2,9,14,4,0,6
s068,4,4,3,15,9,4,0,6
s069,2,2,1,12,3,5,1,5
s070,13,13,5,14,8,4,0,6
s071,4,4,5,11,1,4,3,2
s072,4,4,21,3,13,6,0,9
s073,14,14,4,5,17,4,0,6
s074,17,17,7,15,13,5,2,5
s075,13,13,8,3,4,5,0,6
s076,11,11,16,15,17,3,3,4
s077,19,19,17,20,9,4,2,9
s078,20,20,14,3,5,7,0,7
s079,15,15,4,3,4,6,0,7
s080,7,7,3,18,4,4,0,6
s081,20,20,12,2,6,8,1,7
s082,9,9,7,10,8,4,0,6
s083,15,15,4,7,14,4,0,6
s084,2,2,14,8,2,5,1,4
s085,11,11,10,13,3,4,0,6
s086,5,5,15,7,3,5,3,2
s087,16,16,10,3,14,5,3,5
s088,13,13,10,15,20,4,0,9
s089,8,8,4,6,6,3,0,5
s090,7,7,14,10,2,4,0,6
s091,5,5,8,7,8,4,0,6
s092,21,21,18,15,10,5,2,4
s093,6,6,8,11,18,6,0,6
s094,2,2,8,5,13,4,0,6
s095,2,2,3,12,3,4,2,3
s096,14,14,7,12,6,4,0,6
s097,12,12,9,6,1,4,0,6
s098,11,11,12,13,1,4,0,8
s099,1,1,8,10,9,4,2,3
s100,9,9,11,5,14,4,0,7
s101,17,17,9,15,15,4,0,6
s102,12,12,5,13,16,4,0,6
s103,1,1,10,10,8,8,0,7
s104,19,19,3,18,19,8,0,11
s105,12,12,11,6,12,4,0,6
s106,3,3,18,4,15,10,2,6
s107,13,13,11,10,2,3,0,5
s108,19,19,5,15,25,7,2,5
s109,17,17,12,18,4,6,0,7
s110,1,1,6,1,10,4,0,6
s111,5,5,20,18,3,6,0,11
s112,11,11,2,14,3,5,0,8
s113,6,6,11,2,4,5,0,7
s114,3,3,5,5,9,6,5,2
s115,9,9,11,3,13,6,0,7
s116,3,3,9,1,10,4,1,2
s117,4,4,13,6,11,6,0,7
